DOJ_Extended,Duration_to_agree_offer,Noticeperiod,Offered_band,percent_expected_hike_inCTC,Percent_offered_hike_inCTC,PercentdifferenceCTC,Joining_Bonus,relocate_actual,Gender,RexinYrs,MS,Age,Status_num,Notice_period_buy_out,Willing_to_work_in_shifts,Willing_to_relocate_to_any_city,Did_candidate_reloacte,Interview_type
0,5,60,1,39,20,19,0,0,1,1,0,25,1,0,0,0,0,1
0,14,0,1,20,20,0,0,0,1,1,1,44,0,0,0,1,1,1
0,14,60,1,36,30,6,1,1,1,6,1,27,0,1,0,1,1,1
1,5,30,1,21,20,1,0,0,1,4,1,40,0,0,0,1,1,1
1,3,60,1,40,22,18,0,1,1,7,1,44,0,1,0,1,1,1
1,9,60,3,43,37,6,0,0,1,8,1,44,0,0,0,1,1,1
1,15,90,2,21,20,1,0,0,1,8,1,42,0,0,1,1,1,1
0,10,60,2,21,20,1,1,1,1,6,1,44,0,1,1,1,1,1
0,14,0,1,40,39,1,0,1,1,1,0,25,1,1,0,1,1,0
0,8,60,2,34,20,14,0,0,1,9,1,48,1,0,0,0,0,1
0,11,60,2,24,20,4,0,0,1,7,1,42,0,0,0,1,1,1
0,15,60,1,24,20,4,0,0,1,2,1,28,0,0,0,1,1,1
0,8,0,3,21,20,1,1,0,1,11,1,44,0,0,0,1,1,1
0,6,60,2,41,35,6,0,0,1,7,1,40,1,0,0,1,1,1
0,14,90,3,43,40,3,0,0,1,5,1,28,1,0,0,1,1,1
0,10,60,1,32,20,12,0,0,1,1,1,44,1,0,0,0,0,1
0,2,60,2,22,20,2,1,0,1,6,1,44,1,0,0,0,0,1
0,4,60,2,40,35,5,0,0,1,6,1,29,1,0,0,1,1,0
0,13,60,1,36,20,16,0,0,1,4,1,44,1,0,0,0,0,0
1,5,60,1,20,20,0,0,0,0,6,1,26,0,0,0,1,1,1
1,5,60,1,25,20,5,1,1,1,4,1,44,0,1,0,1,1,1
0,4,0,1,24,20,4,0,1,1,2,1,44,0,1,0,1,1,1
0,2,60,1,22,20,2,0,1,1,6,1,28,0,1,0,1,1,1
0,13,60,0,40,20,20,0,0,0,0,0,24,1,0,0,0,0,1
0,14,60,1,33,20,13,0,0,1,6,1,44,1,0,0,0,0,1
0,3,60,1,20,20,0,0,0,1,7,1,44,1,0,1,0,0,1
0,3,90,2,24,20,4,0,0,1,12,1,45,1,0,0,1,1,1
0,3,60,2,43,38,5,0,0,1,8,1,40,0,0,0,1,1,1
0,8,60,1,25,20,5,0,0,1,4,1,29,1,0,0,0,0,1
1,12,90,2,25,20,5,0,0,1,9,1,40,1,0,0,1,1,1
0,15,60,2,24,20,4,0,0,0,6,1,29,0,0,0,1,1,1
0,2,60,1,25,20,5,0,0,1,4,1,40,1,0,0,1,1,1
1,3,60,1,39,20,19,0,0,1,4,1,44,0,0,1,1,1,1
0,10,60,1,21,20,1,0,0,0,6,0,25,0,0,0,1,1,1
0,9,90,2,23,20,3,0,0,1,6,1,29,1,0,0,0,0,1
1,8,60,2,37,20,17,0,0,0,5,1,40,0,0,0,1,1,1
0,8,60,2,44,38,6,0,1,1,5,0,25,0,1,0,1,1,1
0,13,60,1,79,69,10,0,0,1,5,1,28,1,0,1,1,1,0
